Wall time,Step,Value
1743835087.345013,1193984,-87238.8828125
1743835088.308994,1196032,-87386.2109375
1743835090.090254,1198080,-87216.109375
1743835092.920928,1202176,-87124.6015625
1743835094.22479,1204224,-86788.453125
1743835101.2826219,1214464,-86304.484375
1743835102.3792498,1216512,-86016.34375
1743835105.155852,1220608,-85785.5625
1743835106.3555908,1222656,-86172.9453125
1743835108.289005,1224704,-86190.6640625
1743835112.771646,1230848,-86195.515625
1743835115.566526,1234944,-86351.5703125
1743835117.536639,1239040,-86715.3671875
1743835120.6191502,1243136,-87059.9375
1743835123.164278,1247232,-86874.125
1743835126.8437,1251328,-86561.328125
1743835127.89368,1253376,-86611.421875
1743835129.21206,1255424,-86387.0546875
1743835134.0185258,1261568,-86660.328125
1743835138.924864,1269760,-87005.5
1743835140.675887,1271808,-86908.5078125
1743835143.211688,1275904,-86527.2734375
1743835144.163764,1277952,-86562.6015625
1743835147.140647,1282048,-86463.4921875
1743835152.3794649,1290240,-85838.71875
1743835159.21621,1300480,-84706.5234375
1743835168.341622,1314816,-84181.6171875
1743835169.5484889,1316864,-83836.9921875
1743835172.837125,1320960,-83683.3203125
1743835173.883444,1323008,-83524.453125
1743835174.848128,1325056,-83453.9921875
1743835176.08757,1327104,-83417.8125
1743835177.4458392,1329152,-83253.203125
1743835179.334528,1331200,-83197.3125
1743835181.9837928,1335296,-82890.8125
1743835183.0585191,1337344,-82993.53125
1743835188.69666,1345536,-83370.3515625
1743835189.688985,1347584,-83517.3671875
1743835192.852941,1351680,-83615.765625
1743835194.748215,1355776,-83885.2421875
1743835198.6358411,1361920,-84063.3828125
1743835200.65185,1366016,-83681.203125
1743835201.607172,1368064,-83526.6015625
1743835203.4343529,1370112,-83841.375
1743835206.6149251,1376256,-83932.75
1743835208.145288,1378304,-84019.3828125
1743835209.8877828,1380352,-84018.40625
1743835211.078485,1382400,-83913.078125
1743835212.3295062,1384448,-84055.078125
1743835214.49771,1388544,-83582.125
1743835216.154819,1390592,-83401.5859375
1743835217.431902,1392640,-83294.359375
1743835219.633594,1396736,-83360.8046875
1743835220.588329,1398784,-83018.78125
1743835222.622764,1400832,-83268.140625
1743835223.722042,1402880,-83546.609375
1743835225.2035189,1404928,-83488.2734375
1743835226.365064,1406976,-83420.9609375
1743835229.486939,1411072,-83091.59375
1743835230.4317172,1413120,-83035.515625
1743835233.6285582,1419264,-83047.265625
1743835239.667385,1427456,-82222.78125
1743835243.6089249,1433600,-82096.140625
1743835244.793565,1435648,-82011.0546875
1743835246.060906,1437696,-81553.8984375
1743835248.7471628,1441792,-81933.5703125
1743835250.0157099,1443840,-81693.125
1743835251.209286,1445888,-81983.234375
1743835252.181004,1447936,-81500.2890625
1743835254.7710972,1452032,-81679.0078125
1743835255.732967,1454080,-81348.046875
1743835256.676037,1456128,-81254.6171875
1743835261.27317,1464320,-81526.7109375
1743835267.15155,1472512,-81364.328125
1743835268.8045921,1474560,-81634.859375
1743835271.733687,1478656,-81359.75
1743835273.593733,1480704,-81765.34375
